capture	sample	uptime_start_s	uptime_end_s	batsns_before_raw	baton_raw	isense_raw	batsns_after_raw	battery_uV	usb_online	status
01-room	0	119.89	119.94	15896	10387	15908	15908	3495410	1	Not charging
01-room	1	120.99	121.03	15897	10387	15907	15896	3492773	1	Not charging
01-room	2	122.08	122.12	15897	10387	15896	15896	3490576	1	Not charging
01-room	3	123.17	123.21	15907	10387	15895	15896	3491235	1	Not charging
01-room	4	124.26	124.30	15896	10387	15895	15908	3492773	1	Not charging
01-room	5	125.35	125.39	15895	10387	15905	15895	3494531	1	Not charging
01-room	6	126.44	126.48	15896	10388	15895	15896	3489257	1	Not charging
01-room	7	127.53	127.57	15905	10388	15895	15896	3490356	1	Not charging
01-room	8	128.62	128.66	15894	10388	15895	15906	3490795	1	Not charging
01-room	9	129.71	129.75	15894	10388	15905	15894	3493872	1	Not charging
01-room	10	130.81	130.85	15902	10387	15894	15905	3492333	1	Not charging
01-room	11	131.90	131.94	15894	10387	15900	15893	3493872	1	Not charging
01-room	12	132.99	133.03	15894	10387	15902	15893	3489916	1	Not charging
01-room	13	134.08	134.12	15904	10387	15893	15893	3489038	1	Not charging
01-room	14	135.17	135.21	15894	10388	15892	15904	3491235	1	Not charging
01-room	15	136.26	136.30	15893	10387	15904	15893	3492553	1	Not charging
01-room	16	137.35	137.39	15893	10387	15892	15893	3491674	1	Not charging
01-room	17	138.44	138.48	15904	10387	15892	15893	3491235	1	Not charging
01-room	18	139.53	139.57	15892	10387	15892	15904	3489916	1	Not charging
01-room	19	140.62	140.66	15887	10387	15903	15892	3491674	1	Not charging
01-room	20	141.72	141.77	15903	10387	15891	15892	3491455	1	Not charging
01-room	21	142.82	142.86	15891	10388	15890	15891	3491894	1	Not charging
01-room	22	143.91	143.95	15903	10388	15891	15892	3488378	1	Not charging
01-room	23	145.00	145.04	15891	10387	15890	15902	3490136	1	Not charging
01-room	24	146.09	146.13	15890	10387	15901	15891	3493652	1	Not charging
01-room	25	147.18	147.22	15891	10387	15890	15890	3490136	1	Not charging
01-room	26	148.27	148.31	15901	10387	15889	15890	3490356	1	Not charging
01-room	27	149.36	149.40	15890	10388	15890	15902	3491015	1	Not charging
01-room	28	150.45	150.49	15890	10387	15900	15889	3491235	1	Not charging
01-room	29	151.54	151.58	15889	10387	15888	15889	3491235	1	Not charging
02-response-pending	0	181.30	181.34	15882	10387	15882	15894	3489697	1	Not charging
02-response-pending	1	182.39	182.43	15882	10387	15893	15883	3491674	1	Not charging
02-response-pending	2	183.48	183.52	15882	10387	15882	15882	3489477	1	Not charging
02-response-pending	3	184.57	184.61	15892	10387	15881	15889	3489697	1	Not charging
02-response-pending	4	185.66	185.70	15882	10387	15881	15892	3489477	1	Not charging
02-response-pending	5	186.75	186.79	15881	10387	15893	15881	3492114	1	Not charging
02-response-pending	6	187.84	187.88	15882	10387	15881	15882	3489477	1	Not charging
02-response-pending	7	188.93	188.97	15894	10387	15881	15892	3489257	1	Not charging
02-response-pending	8	190.02	190.06	15880	10387	15881	15881	3488818	1	Not charging
02-response-pending	9	191.11	191.15	15880	10387	15892	15881	3489916	1	Not charging
