input-event0.txt
Event: time 1659312441.730965, type 1 (EV_KEY), code 28 (KEY_ENTER), value 1
Event: time 1659312441.851047, type 1 (EV_KEY), code 28 (KEY_ENTER), value 0
Event: time 1659312442.091027, type 1 (EV_KEY), code 158 (KEY_BACK), value 1
Event: time 1659312442.180962, type 1 (EV_KEY), code 158 (KEY_BACK), value 0
Event: time 1659312442.510986, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 1
Event: time 1659312442.630954, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 0

input-event1.txt

input-event2.txt

input-event3.txt
Event: time 1659312440.601149, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312440.601166, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312440.632143, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312440.632152, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312440.694320, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312440.694336, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312440.994277, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312440.994293, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312441.025278, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312441.025300, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312441.108064, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312441.108073, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312441.159805, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312441.159813, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312441.211546, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312441.211557, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312441.252953, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312441.252969, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312441.294437, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312441.294445, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312441.325484, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312441.325493, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312441.366872, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312441.366880, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312441.408245, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312441.408258, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312441.501437, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312441.501449, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312441.563557, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312441.563566, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312441.625637, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312441.625646, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312442.308830, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312442.308840, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312442.370856, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312442.370865, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312442.702064, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312442.702073, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312442.764146, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312442.764154, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312442.815923, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312442.815932, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312442.888325, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312442.888334, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312442.929778, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312442.929794, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312442.981677, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312442.981709, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312443.054137, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312443.054153, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312443.085103, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312443.085128, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312443.126441, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312443.126450, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312443.188512, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312443.188521, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312443.302324, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312443.302333, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312443.343705, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312443.343721, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312443.395440, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312443.395448, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312443.447192, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312443.447201, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312443.529942, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312443.529951, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312443.571310, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312443.571329, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312443.612733, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312443.612742, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312443.654142, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312443.654151, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312443.685201, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312443.685209, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312443.716285, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312443.716299, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312443.757688, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312443.757696, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312443.819771, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312443.819779, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312443.861288, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312443.861298, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312443.964774, type 1 (EV_KEY), code 103 (KEY_UP), value 1
Event: time 1659312443.964783, type 1 (EV_KEY), code 103 (KEY_UP), value 0
Event: time 1659312444.182316, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312444.182330, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312444.244287, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312444.244302, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312444.275311, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312444.275320, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312444.306374, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312444.306384, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312444.347764, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312444.347772, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312444.378786, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312444.378795, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312444.409854, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312444.409862, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312444.451279, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312444.451292, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312444.482278, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312444.482286, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0
Event: time 1659312444.513305, type 1 (EV_KEY), code 108 (KEY_DOWN), value 1
Event: time 1659312444.513313, type 1 (EV_KEY), code 108 (KEY_DOWN), value 0

input-second-event0.txt
Event: time 1659312646.732525, type 1 (EV_KEY), code 158 (KEY_BACK), value 1
Event: time 1659312646.792536, type 1 (EV_KEY), code 158 (KEY_BACK), value 0
Event: time 1659312647.182552, type 1 (EV_KEY), code 105 (KEY_LEFT), value 1
Event: time 1659312647.302530, type 1 (EV_KEY), code 105 (KEY_LEFT), value 0
Event: time 1659312647.452540, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 1
Event: time 1659312647.542544, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 0
Event: time 1659312647.662543, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 1
Event: time 1659312647.752551, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 0
Event: time 1659312648.052577, type 1 (EV_KEY), code 28 (KEY_ENTER), value 1
Event: time 1659312648.202555, type 1 (EV_KEY), code 28 (KEY_ENTER), value 0
Event: time 1659312651.742603, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 1
Event: time 1659312651.802567, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 0
Event: time 1659312651.922591, type 1 (EV_KEY), code 105 (KEY_LEFT), value 1
Event: time 1659312652.042589, type 1 (EV_KEY), code 105 (KEY_LEFT), value 0
Event: time 1659312652.102589, type 1 (EV_KEY), code 158 (KEY_BACK), value 1
Event: time 1659312652.222575, type 1 (EV_KEY), code 158 (KEY_BACK), value 0
Event: time 1659312652.372587, type 1 (EV_KEY), code 28 (KEY_ENTER), value 1
Event: time 1659312652.492587, type 1 (EV_KEY), code 28 (KEY_ENTER), value 0
Event: time 1659312652.642579, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 1
Event: time 1659312652.732571, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 0
Event: time 1659312655.162596, type 1 (EV_KEY), code 158 (KEY_BACK), value 1
Event: time 1659312655.252598, type 1 (EV_KEY), code 158 (KEY_BACK), value 0
Event: time 1659312655.522617, type 1 (EV_KEY), code 105 (KEY_LEFT), value 1
Event: time 1659312655.672594, type 1 (EV_KEY), code 105 (KEY_LEFT), value 0
Event: time 1659312655.792697, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 1
