sample,uptime_s,gpu_pm,gpu_active_ms,gpu_suspended_ms,cpu_khz,pmic_mc,cpu_mc,battery_uv,charge_status,backlight,watchdog_pets,fault,sample_error,stop_error,last_error,broken,power,MemAvailable_kib,Slab_kib
0,315.19,suspended,20325,294345,1040000,47467,46800,4093066,Not charging,32,127,0x0,0,0,0,0,0x3f4c/0x3f4c,913572,8352
1,316.30,active,21301,294475,598000,46883,47500,4095483,Not charging,32,127,0x0,0,0,0,0,0x3f5c/0x3f5c,904256,8440
2,317.44,active,22441,294475,598000,46883,47100,4095483,Not charging,32,127,0x0,0,0,0,0,0x3f5c/0x3f5c,903532,8444
3,318.58,active,23581,294475,598000,46883,47000,4095043,Not charging,32,127,0x0,0,0,0,0,0x3f5c/0x3f5c,903952,8444
4,319.72,active,24720,294475,598000,46883,47100,4095263,Not charging,32,127,0x0,0,0,0,0,0x3f5c/0x3f5c,904312,8448
5,320.86,active,25861,294475,598000,46883,47100,4095922,Not charging,32,127,0x0,0,0,0,0,0x3f5c/0x3f5c,903300,8464
6,322.00,active,27002,294475,598000,46883,47000,4094604,Not charging,32,127,0x0,0,0,0,0,0x3f5c/0x3f5c,903664,8468
7,323.15,active,28151,294475,598000,46883,47000,4094165,Not charging,32,127,0x0,0,0,0,0,0x3f5c/0x3f5c,903276,8468
8,324.29,active,29291,294475,598000,46883,47200,4093945,Not charging,32,127,0x0,0,0,0,0,0x3f5c/0x3f5c,902732,8468
9,325.43,active,30431,294475,598000,46883,47000,4093725,Not charging,32,127,0x0,0,0,0,0,0x3f5c/0x3f5c,902852,8468
10,326.57,active,31571,294475,598000,46883,47000,4093725,Not charging,32,127,0x0,0,0,0,0,0x3f5c/0x3f5c,902368,8468
11,327.71,active,32711,294475,598000,46883,47100,4092407,Not charging,32,127,0x0,0,0,0,0,0x3f5c/0x3f5c,902116,8468
12,328.85,active,33851,294475,598000,46883,47000,4093286,Not charging,32,127,0x0,0,0,0,0,0x3f5c/0x3f5c,902340,8468
13,329.99,active,34991,294475,598000,46883,47100,4092846,Not charging,32,127,0x0,0,0,0,0,0x3f5c/0x3f5c,902844,8468
14,331.13,active,36131,294475,598000,46883,47000,4092626,Not charging,32,127,0x0,0,0,0,0,0x3f5c/0x3f5c,903040,8468
15,332.27,active,37271,294475,598000,46883,47100,4092626,Not charging,32,127,0x0,0,0,0,0,0x3f5c/0x3f5c,902228,8468
