path	bytes	lines	sha256	upstream_v6.18
arch/arm/boot/dts/mediatek/Makefile	396	16	952e47296d4d07c1b71a66c783fa10169881a8285cf85587ee8d26f3cb0941be	different
arch/arm/boot/dts/mediatek/mt6582-innioasis-y2.dts	28449	851	b7740410ddabbe9a61f1c4f58df0a118450ec0d3a296bfe205cdf21b87105a6b	absent
arch/arm/mach-mediatek/mediatek.c	1306	54	cafbd4f2acacf298f051a105365cb674a4e8de5809307920cd9576e5df863773	different
arch/arm/mach-mediatek/platsmp.c	4080	149	8faf867ba6dd530a11d25e163cf3c040d7167cad9272b19b4ba585116b6fc678	different
drivers/base/regmap/regmap-debugfs.c	17545	703	b55f7995baad0555c117e47648051447e31176fe4ac6bee45e7ae73a4a99e0c7	different
drivers/clk/mediatek/Kconfig	32115	1063	cd52fd96029bceec17fc943ffd6345ec255dcf6f783d24ecd4c498478b6c48ff	different
drivers/clk/mediatek/Makefile	9636	158	b7e70ed52af5e20b8fae49184c03e1557497a74fa8266a55586ae6381b2581bd	different
drivers/clk/mediatek/clk-mt6582-apmixedsys.c	4252	119	31ba26212f088f3742786620266089864f65d15b55005870f5d01ad3bc59060b	absent
drivers/clk/mediatek/clk-mt6582-mm.c	3253	88	dd84468f96ba53fb6f05c0c1c06119cfbef49635dc262ca6c6e75cd5cbe21a90	absent
drivers/clk/mediatek/clk-mt6582.c	9655	230	09aedd67484cffda6e40df2e3d8a80ba1ac2cf5ad50a6650f13a2fdef8a92b53	absent
drivers/gpio/Kconfig	57862	1943	230a57fe84cc551d5a50ebf9eaef3078a71e74c5858b528e881724a78b84eb71	different
drivers/gpio/Makefile	9267	206	e2a97c1a7715edc232de30cc3555d853af0dec3f6092a274a1c40be58a72ca99	different
drivers/gpio/gpio-mt6582.c	6565	230	3dac88ed0a91017d19947c2bf11e7a7bbda528092ceab54d4fe3c8230b7af6ee	absent
drivers/gpu/drm/mediatek/Kconfig	1197	43	b2048f6e9baad20e87b849f30ed3dc9587b720d3a7692576966b9621558b43ea	different
drivers/gpu/drm/mediatek/mtk_crtc.c	32152	1149	f67e169038fa91352d628c2f367baed09ff423159c73acbbb8cf56816421271d	different
drivers/gpu/drm/mediatek/mtk_ddp_comp.c	20559	687	200d43decf603fb1d2fdbeef27f1301ff75ae506f995ab4b0e31033e09496a98	different
drivers/gpu/drm/mediatek/mtk_ddp_comp.h	10520	369	c160d2160b7b7f363b645f1f51a10739f5f42fe6ad2879d164d9d66465df3fd1	different
drivers/gpu/drm/mediatek/mtk_disp_color.c	4618	169	559a14692226fea2dcb279c6d4514adcd58a44abfd80a9d71abf80696e770d2e	different
