source_path	bytes	sha256	url
Documentation/arch/arm/booting.rst	8119	0f1ec9a2107b070e4758cddc640ff6ae227b2b68f3f6782446271dbb0b117b47	https://raw.githubusercontent.com/torvalds/linux/v6.18/Documentation/arch/arm/booting.rst
Documentation/devicetree/bindings/arm/mediatek.yaml	15095	a09ed27a9e8ea03ac494ceea1eaf90afea94ad8a7bd1f79020719964c40ff7c7	https://raw.githubusercontent.com/torvalds/linux/v6.18/Documentation/devicetree/bindings/arm/mediatek.yaml
arch/arm/Kconfig	58960	36089ffac0584214bfd35e3fbe56f3c9386c2f686288116e86e5399659a1cd1b	https://raw.githubusercontent.com/torvalds/linux/v6.18/arch/arm/Kconfig
arch/arm/boot/compressed/atags_to_fdt.c	5572	3052214e2f76ee1e3bc5226b73a2515185f20ef7e0ea279a004d8931d764a193	https://raw.githubusercontent.com/torvalds/linux/v6.18/arch/arm/boot/compressed/atags_to_fdt.c
arch/arm/boot/compressed/head.S	39017	f58ea39b9d2d64f6b985a3be842ddb340365521a782dcb0c15e6183804bf3d82	https://raw.githubusercontent.com/torvalds/linux/v6.18/arch/arm/boot/compressed/head.S
arch/arm/boot/dts/mediatek/mt6582-prestigio-pmt5008-3g.dts	583	a77edde725a096f828282db3c09bbde13e40d0cec3fdea2336193eadc7e6a32b	https://raw.githubusercontent.com/torvalds/linux/v6.18/arch/arm/boot/dts/mediatek/mt6582-prestigio-pmt5008-3g.dts
arch/arm/boot/dts/mediatek/mt6582.dtsi	2816	93311d1e7f2cd1b222d6f4d92682f314add934faafb7f03f73ce881f13e8dec9	https://raw.githubusercontent.com/torvalds/linux/v6.18/arch/arm/boot/dts/mediatek/mt6582.dtsi
arch/arm/boot/dts/mediatek/mt6589.dtsi	3009	9e2004560f467f27e25e42d1dde5d473dd7c6d42c05e43fb19df2851d621f452	https://raw.githubusercontent.com/torvalds/linux/v6.18/arch/arm/boot/dts/mediatek/mt6589.dtsi
arch/arm/kernel/devtree.c	5906	e23cc94e5586aae51d21800541d7339d364c00e1adb2f42547b03f8b918f319d	https://kernel.googlesource.com/pub/scm/linux/kernel/git/torvalds/linux/+/refs/tags/v6.18/arch/arm/kernel/devtree.c?format=TEXT
arch/arm/kernel/time.c	2300	5de652ac847620cc249fb4dbf58ac55f3d7ce7c61c8ae85f0f3c742f42bec687	https://kernel.googlesource.com/pub/scm/linux/kernel/git/torvalds/linux/+/refs/tags/v6.18/arch/arm/kernel/time.c?format=TEXT
arch/arm/mach-mediatek/Kconfig	933	61790e35f9fbdb5dd524c658f041739b4cf52d8393962622d6cdb4a0f497506b	https://raw.githubusercontent.com/torvalds/linux/v6.18/arch/arm/mach-mediatek/Kconfig
arch/arm/mach-mediatek/mediatek.c	1306	5fef5712eb9b6729519b4e45898ea25b1b7a0bbd914dabecfc46f3f3de624ea5	https://kernel.googlesource.com/pub/scm/linux/kernel/git/torvalds/linux/+/refs/tags/v6.18/arch/arm/mach-mediatek/mediatek.c?format=TEXT
arch/arm/mach-mediatek/platsmp.c	3991	437c79de149466434a7bd3ab0a5210196a43f75f151d896d0e3871c1d37c7145	https://raw.githubusercontent.com/torvalds/linux/v6.18/arch/arm/mach-mediatek/platsmp.c
arch/arm/mm/proc-v7.S	25730	c6e5be200e574fdf81c5da241dfb4bb3edde2a10a3944a3ad1eab5e82ae0dc4d	https://raw.githubusercontent.com/torvalds/linux/v6.18/arch/arm/mm/proc-v7.S
arch__arm__mach-mediatek.listing.json	3388	4bb4972dc6024231d3a89bf670ce197c3445a8d0e5cbd47f6bcedc510b12c380	https://api.github.com/repos/torvalds/linux/contents/arch/arm/mach-mediatek?ref=v6.18
drivers/clocksource/timer-mediatek.c	9140	15f499b5abefc9bab004ef1a9ca55180582e48bba8dd5429b1e7a0cbdf1988e7	https://raw.githubusercontent.com/torvalds/linux/v6.18/drivers/clocksource/timer-mediatek.c
drivers/irqchip/irq-gic.c	43399	3095481db1f1a10f2ffd63e420ae35c6e5a3352eb78c37591a6d8a327b353a65	https://raw.githubusercontent.com/torvalds/linux/v6.18/drivers/irqchip/irq-gic.c
drivers/irqchip/irq-mtk-sysirq.c	5952	eefebb414073bc27c21e9c67bed1e6f4e8ac6de0d34f4f2c3ba8bf9d7ad6eba8	https://api.github.com/repos/torvalds/linux/contents/drivers/irqchip/irq-mtk-sysirq.c?ref=v6.18
drivers/mmc/host/mtk-sd.c	100333	8fd10e3a6f6d60e37216de79b2d7a8b8f766c7d7e5cdd5851cccfe375e2536d1	https://raw.githubusercontent.com/torvalds/linux/v6.18/drivers/mmc/host/mtk-sd.c
drivers/tty/serial/8250/8250_mtk.c	18626	9ed47647ccf4c2cada2b09d61d088b04cbc80b92f9455673b41fd645e5dfe821	https://raw.githubusercontent.com/torvalds/linux/v6.18/drivers/tty/serial/8250/8250_mtk.c
drivers/watchdog/mtk_wdt.c	13667	6e8230dff7db590f16bdc83918220da48be57c8a594cd3f0917f4c0e0018da9b	https://api.github.com/repos/torvalds/linux/contents/drivers/watchdog/mtk_wdt.c?ref=v6.18
drivers__clk__mediatek.listing.json	197164	de55e93ce1343325299f5148cc026d5c00fc57bcf35d54c18150a7ea45b47680	https://api.github.com/repos/torvalds/linux/contents/drivers/clk/mediatek?ref=v6.18
drivers__pinctrl__mediatek.listing.json	63493	30e3b89dcb3bdec1b880a5683e6c48a9f63c1d759bbf71aa466d755ed58cadc8	https://api.github.com/repos/torvalds/linux/contents/drivers/pinctrl/mediatek?ref=v6.18
